batch,train_acc,val_acc
0,0.9375,0.6250
1,0.9375,0.7500
2,0.9375,0.9062
3,1.0000,0.8125
4,1.0000,0.7812
5,0.9688,0.8750
6,0.9375,0.8438
7,0.9688,0.8750
8,0.9688,0.9062
9,0.9688,0.9062
10,1.0000,0.8438
11,0.9062,0.8438
12,0.9688,0.8750
13,1.0000,0.8125
14,0.9688,0.7812
15,0.9688,0.8438
16,0.9688,0.8750
17,1.0000,0.8750
18,1.0000,0.9062
19,1.0000,0.8438
20,1.0000,0.8750
21,0.9688,0.8125
22,1.0000,0.9062
23,0.9688,0.8750
24,1.0000,0.8750
25,1.0000,0.9062
26,1.0000,0.8750
27,1.0000,0.8750
28,1.0000,0.8438
29,1.0000,0.8750
30,0.9688,0.9375
31,1.0000,0.9062
32,1.0000,0.8750
33,1.0000,0.9062
34,1.0000,0.9375
35,1.0000,0.9062
36,0.9375,0.9062
37,1.0000,0.8438
38,1.0000,0.8750
39,1.0000,0.9688
40,1.0000,0.8438
41,1.0000,0.8750
42,1.0000,0.7500
43,0.9375,0.8750
44,1.0000,0.9688
45,1.0000,0.8750
46,1.0000,0.8125
47,0.9688,0.8438
48,0.9688,0.9062
49,1.0000,0.9375
50,0.9688,0.8125
51,1.0000,0.8750
52,1.0000,0.8750
53,1.0000,0.9375
54,1.0000,0.8438
55,0.9688,0.8125
56,1.0000,0.8438
57,1.0000,0.8125
58,1.0000,0.8125
59,0.9688,0.9375
60,1.0000,0.8750
61,0.9688,0.9062
62,0.9688,0.8438
63,1.0000,0.9062
64,1.0000,0.7500
65,0.9688,0.8438
66,1.0000,0.8750
67,0.9375,0.8438
68,0.9688,0.9062
69,1.0000,0.7500
70,1.0000,0.8125
71,1.0000,0.9688
72,1.0000,0.7812
73,1.0000,0.8125
74,1.0000,0.9375
75,1.0000,0.9062
76,1.0000,0.9375
77,1.0000,0.8438
78,0.9688,0.9375
79,1.0000,0.7812
80,1.0000,0.8125
81,1.0000,0.9688
82,1.0000,0.8750
83,1.0000,0.8438
84,1.0000,0.9375
85,0.9688,0.9062
86,1.0000,0.9375
87,1.0000,0.8438
88,0.9688,0.9062
89,1.0000,0.9688
90,0.9688,0.8750
91,1.0000,0.9688
92,1.0000,0.9375
93,1.0000,0.9375
94,1.0000,0.8125
95,0.9688,0.9062
96,1.0000,0.7812
97,0.9688,0.7188
98,1.0000,0.9062
99,1.0000,0.9062
100,1.0000,0.9375
101,1.0000,0.8750
102,1.0000,0.9375
103,1.0000,0.7500
104,0.9688,0.9375
105,1.0000,0.9688
106,0.9688,0.8438
107,0.9688,0.9688
108,1.0000,0.9062
109,1.0000,0.8438
110,1.0000,0.9062
111,1.0000,0.8438
112,1.0000,0.9062
113,0.9688,0.8750
114,0.9688,0.9062
115,1.0000,0.8125
116,1.0000,0.9375
117,1.0000,0.9375
118,1.0000,0.9375
119,0.9688,0.8438
120,1.0000,0.9375
121,1.0000,0.9062
122,0.9375,0.8750
123,1.0000,0.9375
124,1.0000,0.9062
125,1.0000,0.8438
126,0.9375,0.8438
127,1.0000,0.8438
128,1.0000,0.9375
129,1.0000,0.9062
130,1.0000,0.9375
131,1.0000,0.8438
132,1.0000,0.8750
133,1.0000,0.8438
134,1.0000,0.8438
135,1.0000,0.9375
136,1.0000,0.9062
137,1.0000,0.8438
138,0.9688,0.9375
139,1.0000,0.7500
140,0.9688,0.9375
141,1.0000,0.9375
142,1.0000,0.9688
143,1.0000,0.8125
144,0.9375,0.9375
145,0.9688,0.9062
146,1.0000,0.9688
147,1.0000,0.8750
148,0.9688,0.8750
149,0.9688,0.8750
