batch,train_acc,val_acc
0,0.9688,0.6875
1,0.9062,0.8438
2,0.9688,0.6875
3,1.0000,0.7812
4,0.9688,0.7812
5,0.9062,0.8125
6,0.9688,0.8750
7,1.0000,0.8750
8,0.9375,0.9062
9,0.9375,0.9688
10,1.0000,0.8125
11,1.0000,0.8750
12,1.0000,0.8750
13,0.9688,0.7188
14,1.0000,0.9375
15,0.9375,0.8438
16,1.0000,0.9062
17,1.0000,0.8750
18,1.0000,0.9688
19,1.0000,0.7500
20,1.0000,0.7812
21,0.9688,0.7812
22,1.0000,0.8125
23,1.0000,0.7812
24,1.0000,0.8750
25,1.0000,0.9062
26,1.0000,0.9375
27,0.9375,0.8438
28,0.9375,0.7188
29,1.0000,0.8125
30,1.0000,0.8125
31,1.0000,0.8750
32,1.0000,0.8125
33,1.0000,0.8750
34,1.0000,0.9062
35,1.0000,0.9688
36,1.0000,0.9375
37,1.0000,0.9688
38,1.0000,0.8125
39,1.0000,0.8438
40,1.0000,0.9062
41,1.0000,0.8750
42,1.0000,0.9375
43,0.9688,0.8750
44,0.9688,0.8438
45,1.0000,1.0000
46,1.0000,0.8125
47,0.9062,0.7812
48,1.0000,0.9062
49,1.0000,0.8438
50,0.9375,0.8438
51,1.0000,0.9062
52,1.0000,0.9062
53,0.8750,0.7500
54,0.9688,0.9375
55,1.0000,0.6875
56,1.0000,0.9062
57,0.9375,0.8438
58,1.0000,0.8125
59,0.9688,0.8438
60,1.0000,0.6875
61,0.9375,0.8438
62,0.9688,0.7812
63,1.0000,0.9688
64,1.0000,0.9062
65,1.0000,0.8125
66,0.9688,0.9062
67,0.9688,0.8438
68,1.0000,0.8438
69,0.9688,0.9688
70,0.9688,0.8750
71,1.0000,0.9688
72,0.9688,0.8438
73,1.0000,0.9688
74,1.0000,0.7812
75,1.0000,0.9062
76,1.0000,0.9062
77,1.0000,0.9688
78,1.0000,0.9375
79,1.0000,0.9375
80,1.0000,0.9062
81,1.0000,0.8438
82,1.0000,0.8438
83,1.0000,0.9062
84,1.0000,0.8125
85,0.9688,0.8438
86,1.0000,0.9062
87,0.9688,0.8125
88,0.9688,0.8750
89,1.0000,0.8750
90,1.0000,0.9688
91,1.0000,0.8750
92,1.0000,0.8125
93,1.0000,0.8438
94,1.0000,1.0000
95,0.9688,0.8438
96,0.9688,0.8750
97,1.0000,0.9062
98,1.0000,0.8750
99,1.0000,0.8125
100,1.0000,0.9062
101,1.0000,0.8438
102,1.0000,0.9062
103,1.0000,0.9062
104,1.0000,0.8438
105,1.0000,0.9688
106,0.9688,0.9062
107,0.9688,0.9062
108,1.0000,0.9375
109,1.0000,0.8438
110,0.9688,0.9062
111,1.0000,0.8125
112,1.0000,0.9375
113,1.0000,0.9062
114,0.9375,0.7812
115,0.9688,0.9062
116,1.0000,0.8438
117,1.0000,0.9688
118,1.0000,0.9062
119,0.9688,0.8438
120,0.9688,0.8750
121,1.0000,0.9062
122,1.0000,0.8750
123,0.9688,0.8438
124,1.0000,0.9062
125,1.0000,0.7188
126,0.9688,0.9375
127,1.0000,0.8438
128,1.0000,0.8750
129,1.0000,0.9062
130,1.0000,0.8438
131,1.0000,0.8125
132,1.0000,0.8750
133,1.0000,0.9688
134,1.0000,0.9688
135,1.0000,0.9375
136,0.9688,0.8438
137,0.9688,0.8125
138,0.9688,0.8438
139,1.0000,0.9062
140,0.9688,0.8750
141,0.9375,0.8750
142,1.0000,0.8750
143,1.0000,0.8750
144,1.0000,0.9062
145,1.0000,0.7812
146,1.0000,0.9375
147,1.0000,0.9062
148,1.0000,0.9375
149,0.9375,0.8125
