batch,train_acc,val_acc
0,0.9062,0.5625
1,1.0000,0.5625
2,0.9375,0.8125
3,0.9062,0.6562
4,1.0000,0.8438
5,0.9688,0.8125
6,0.9688,0.7500
7,0.9062,0.7500
8,0.9688,0.8438
9,0.9688,0.8125
10,1.0000,0.7500
11,0.9688,0.8125
12,1.0000,0.8438
13,0.9375,0.8438
14,0.9375,0.6875
15,1.0000,0.8750
16,0.9688,0.8750
17,0.9688,0.7812
18,0.9375,0.8125
19,0.9688,0.8750
20,1.0000,0.9062
21,0.9375,0.8438
22,0.9688,0.7500
23,1.0000,0.9375
24,0.9688,0.9062
25,0.9688,0.7500
26,1.0000,0.8125
27,0.9688,0.9062
28,0.9688,0.8125
29,0.9688,0.8750
30,1.0000,0.9062
31,1.0000,0.9062
32,1.0000,0.9375
33,1.0000,0.8750
34,0.9688,0.9375
35,0.9688,0.8750
36,0.9688,0.9375
37,1.0000,0.9688
38,0.9688,0.8125
39,1.0000,0.9062
40,0.9375,0.7188
41,0.9375,0.8750
42,0.9688,0.8750
43,0.9688,0.9062
44,1.0000,0.7812
45,0.9688,0.8750
46,0.9688,0.7812
47,1.0000,0.8125
48,1.0000,0.9062
49,1.0000,0.7812
50,1.0000,0.9688
51,1.0000,0.9062
52,0.9688,0.9062
53,1.0000,0.8750
54,0.9688,0.8750
55,0.9688,0.7812
56,1.0000,0.7500
57,1.0000,0.9375
58,1.0000,0.7812
59,1.0000,0.7500
60,1.0000,0.9062
61,0.9688,0.9375
62,1.0000,0.8438
63,0.9688,0.9062
64,1.0000,0.9375
65,0.9375,0.8438
66,1.0000,0.8438
67,0.9688,0.9375
68,1.0000,0.8125
69,1.0000,0.9062
70,1.0000,0.9062
71,0.9375,0.9375
72,0.8750,0.9062
73,1.0000,0.8438
74,0.9375,0.9375
75,1.0000,0.9062
76,1.0000,0.7812
77,1.0000,0.9375
78,1.0000,0.8750
79,1.0000,0.9062
80,0.9688,0.9062
81,0.9062,0.7812
82,0.9688,0.9688
83,1.0000,0.9062
84,1.0000,0.8125
85,1.0000,0.7500
86,0.9688,0.7812
87,0.9688,0.8125
88,1.0000,0.8750
89,1.0000,0.8125
90,0.9688,0.9375
91,1.0000,0.9375
92,1.0000,0.7500
93,1.0000,0.9062
94,0.9688,0.8438
95,1.0000,0.9688
96,0.9688,0.9375
97,1.0000,0.9375
98,1.0000,0.9375
99,1.0000,0.8125
100,0.9688,0.9375
101,1.0000,0.8438
102,1.0000,0.9062
103,1.0000,0.9375
104,1.0000,0.8125
105,1.0000,0.8750
106,0.9688,0.9062
107,1.0000,0.9375
108,1.0000,0.9062
109,1.0000,0.8125
110,1.0000,0.7500
111,1.0000,0.7188
112,1.0000,0.8750
113,1.0000,0.9688
114,0.9688,0.8125
115,1.0000,0.8750
116,1.0000,0.8750
117,0.9688,0.8125
118,1.0000,0.9375
119,1.0000,0.9062
120,1.0000,0.7500
121,1.0000,0.8750
122,1.0000,0.9688
123,1.0000,0.7812
124,1.0000,0.9688
125,1.0000,0.8750
126,1.0000,0.8438
127,1.0000,0.7500
128,0.9688,0.6562
129,1.0000,0.9688
130,1.0000,0.8438
131,1.0000,0.7812
132,1.0000,0.8750
133,1.0000,0.7812
134,0.9688,0.8750
135,1.0000,0.8750
136,1.0000,0.7812
137,0.9688,0.8750
138,1.0000,0.9375
139,1.0000,0.9375
140,1.0000,0.9062
141,1.0000,0.9688
142,0.9688,0.8750
143,1.0000,0.7812
144,1.0000,0.8750
145,1.0000,0.8750
146,1.0000,1.0000
147,1.0000,0.9375
148,0.9375,0.8750
149,1.0000,0.8750
