batch,train_acc,val_acc
0,0.9375,0.6250
1,0.7812,0.5938
2,1.0000,0.7812
3,0.9375,0.7500
4,0.9688,0.8750
5,0.8750,0.8125
6,1.0000,0.8438
7,1.0000,0.8438
8,0.9688,0.7812
9,0.9375,0.7812
10,0.9688,0.6875
11,1.0000,0.8750
12,0.9688,0.8438
13,0.9688,0.9375
14,1.0000,0.7500
15,0.9688,0.8750
16,0.9375,0.9375
17,1.0000,0.9062
18,1.0000,0.7188
19,0.9375,0.7812
20,1.0000,0.7812
21,1.0000,0.8125
22,0.9688,0.9062
23,0.9688,0.7188
24,1.0000,0.8750
25,0.9688,0.7500
26,1.0000,0.8125
27,0.9688,0.8438
28,0.8125,0.8125
29,1.0000,0.8125
30,0.9688,0.9062
31,0.9688,0.9062
32,0.9375,0.8438
33,1.0000,0.7812
34,0.9688,0.8750
