batch,train_acc,val_acc
0,0.9062,0.4688
1,0.9688,0.7812
2,1.0000,0.6875
3,0.9375,0.7188
4,0.9688,0.8125
5,0.9062,0.7500
6,1.0000,0.7188
7,1.0000,0.8125
8,1.0000,0.7812
9,1.0000,0.7812
10,0.9688,0.8438
11,0.9688,0.8438
12,1.0000,0.9062
13,1.0000,0.7188
14,1.0000,0.7500
15,1.0000,0.9688
16,0.9688,0.9375
17,0.9375,0.8125
18,1.0000,0.8750
19,0.9688,0.8750
20,1.0000,0.8438
21,1.0000,0.8750
22,0.9688,0.9375
23,1.0000,0.8125
24,0.9688,0.8750
25,1.0000,0.8750
26,1.0000,0.9062
27,1.0000,0.7500
28,1.0000,0.9375
29,0.9688,0.9375
30,1.0000,0.8438
31,1.0000,0.7812
32,1.0000,0.8438
33,1.0000,0.8438
34,1.0000,0.9062
35,0.9688,0.8125
36,0.9688,0.9062
37,1.0000,0.9688
38,0.9375,0.7188
39,1.0000,0.8750
40,0.9688,0.9062
41,0.9375,0.8750
42,1.0000,0.8125
43,1.0000,0.9062
44,0.9688,0.8750
45,0.9062,0.9062
46,1.0000,0.7812
47,0.9688,0.9375
48,1.0000,0.8750
49,0.9375,0.8125
50,1.0000,0.8750
51,1.0000,0.8750
52,1.0000,0.8750
53,1.0000,0.8125
54,0.9688,0.8125
55,0.9375,0.7812
56,1.0000,0.8125
57,1.0000,0.9062
58,0.9688,0.8438
59,0.9688,0.7500
60,0.9688,0.8750
61,0.9375,0.8750
62,1.0000,0.9375
63,1.0000,0.8750
64,1.0000,0.8438
65,1.0000,0.9688
66,1.0000,0.9375
67,1.0000,0.9062
68,1.0000,0.9062
69,1.0000,0.9375
70,1.0000,0.9062
71,1.0000,0.9375
72,1.0000,0.7812
73,1.0000,0.7500
74,0.9062,0.7812
75,1.0000,0.8438
76,1.0000,0.8750
77,0.9688,0.9062
78,1.0000,0.8750
79,1.0000,0.9062
80,1.0000,0.9062
81,1.0000,0.8750
82,1.0000,0.8438
83,1.0000,0.8750
84,1.0000,0.9062
85,1.0000,0.9062
86,1.0000,0.7188
87,1.0000,0.8750
88,1.0000,0.8750
89,0.9688,0.7812
90,0.9688,0.9062
91,1.0000,0.9062
92,0.9688,0.9688
93,1.0000,0.8750
94,1.0000,0.9688
95,0.9688,0.8125
96,0.9688,0.9375
97,1.0000,0.8125
98,1.0000,0.9375
99,1.0000,0.8438
100,0.9688,0.8438
101,1.0000,0.8125
102,1.0000,0.8125
103,1.0000,0.7188
104,0.9688,0.7812
105,1.0000,0.9375
106,1.0000,0.9375
107,0.9688,0.8438
108,1.0000,0.8750
109,1.0000,0.9375
110,1.0000,0.8125
111,1.0000,0.9688
112,1.0000,0.9062
113,1.0000,0.9062
114,0.9688,0.8750
115,0.9688,0.7812
116,1.0000,0.8750
117,1.0000,0.8125
118,1.0000,0.7812
119,1.0000,0.9062
120,0.9688,0.8125
121,1.0000,0.8438
122,1.0000,0.9062
123,1.0000,0.9062
124,0.9688,0.8125
125,1.0000,0.7500
126,1.0000,0.8750
127,1.0000,0.9375
128,1.0000,0.9062
129,1.0000,0.9062
130,0.9688,0.8125
131,0.9688,0.8125
132,1.0000,0.8438
133,0.9688,0.8750
134,1.0000,0.8750
135,1.0000,0.9062
136,1.0000,0.8438
137,0.9688,0.9062
138,1.0000,0.7812
139,0.9688,0.8750
140,1.0000,0.9062
141,1.0000,0.8125
142,0.9688,0.9062
143,0.9688,0.7812
144,1.0000,0.9375
145,1.0000,0.8438
146,0.9688,0.9688
147,0.9688,0.9375
148,0.9688,0.9375
149,0.9688,0.8750
