batch,train_acc,val_acc
0,0.9375,0.6875
1,0.8750,0.6875
2,1.0000,0.8125
3,0.9688,0.7812
4,0.9062,0.8438
5,0.9688,0.7812
6,1.0000,0.7812
7,0.9688,0.7812
8,0.9688,0.7500
9,0.8750,0.8750
10,1.0000,0.9688
11,1.0000,0.9062
12,1.0000,0.8438
13,1.0000,0.9062
14,0.9688,0.9062
15,0.9375,0.9375
16,0.9375,0.7812
17,1.0000,0.8750
18,0.9688,0.8750
19,0.9375,0.7500
20,0.9688,0.8125
21,1.0000,0.9375
22,0.9062,0.8438
23,1.0000,0.8750
24,1.0000,0.9375
25,1.0000,0.8750
26,1.0000,0.8750
27,0.9688,0.8438
28,0.9688,0.8750
29,0.9688,0.9062
30,1.0000,0.9375
31,0.9375,0.8750
32,1.0000,0.9062
33,1.0000,0.9688
34,0.9688,0.8438
35,1.0000,0.8125
36,0.9688,0.7812
37,0.9375,0.7812
38,1.0000,0.8438
39,1.0000,0.9062
40,1.0000,0.8438
41,1.0000,0.7812
42,0.9688,0.8750
43,1.0000,0.8438
44,0.9688,0.7812
45,0.9062,0.8438
46,0.9688,0.8750
47,0.9375,0.8438
48,1.0000,0.9688
49,1.0000,0.7812
50,0.9688,0.8125
51,1.0000,0.8750
52,0.9688,0.9375
53,1.0000,0.8438
54,1.0000,0.8750
55,1.0000,0.8750
56,1.0000,0.8438
57,0.9375,0.8750
58,1.0000,0.8750
59,1.0000,0.9375
60,0.8750,0.8125
61,1.0000,0.8438
62,1.0000,0.9375
63,1.0000,0.8750
64,1.0000,0.8750
65,1.0000,0.9375
66,1.0000,0.9062
67,1.0000,0.8438
68,1.0000,0.9688
69,0.9688,0.8750
70,1.0000,0.8750
71,0.9688,0.9062
72,0.9688,0.8750
73,0.9688,0.9375
74,1.0000,0.9062
75,0.9688,0.8438
76,1.0000,0.9375
77,1.0000,0.8125
78,1.0000,0.9375
79,1.0000,0.9062
80,1.0000,0.9062
81,1.0000,0.8438
82,1.0000,0.8750
83,1.0000,0.9062
84,1.0000,0.9062
85,1.0000,0.8125
86,0.9688,1.0000
87,1.0000,0.9375
88,0.9688,0.8125
89,0.9688,0.8125
90,0.9688,0.9688
91,0.9688,0.8125
92,1.0000,0.9062
93,0.9688,0.8125
94,1.0000,0.8438
95,0.8750,0.9062
96,0.9688,0.8125
97,1.0000,0.9062
98,0.9375,0.8438
99,1.0000,0.9062
100,1.0000,0.8750
101,1.0000,0.9062
102,1.0000,0.9062
103,0.9375,0.9375
104,0.9688,0.7812
105,1.0000,0.8438
106,1.0000,0.9375
107,1.0000,0.9062
108,1.0000,0.9375
109,0.9688,0.8750
110,1.0000,0.9062
111,0.9688,0.9062
112,0.9688,0.9062
113,0.9688,0.9375
114,1.0000,0.9062
115,1.0000,0.8125
116,1.0000,0.8438
117,1.0000,0.7812
118,1.0000,0.9062
119,1.0000,0.9375
120,1.0000,0.9375
121,1.0000,0.9375
122,1.0000,0.8438
123,0.9688,0.9062
124,1.0000,0.9062
125,1.0000,0.9688
126,1.0000,0.8438
127,1.0000,0.8750
128,1.0000,0.7500
129,1.0000,0.9375
130,1.0000,0.8438
131,0.9375,0.9375
132,0.9375,0.7812
133,1.0000,0.8438
134,1.0000,0.9375
135,1.0000,0.8438
136,1.0000,0.9062
137,0.9688,0.9375
138,1.0000,0.9062
139,1.0000,0.9375
140,0.9688,0.8438
141,1.0000,0.9062
142,1.0000,1.0000
143,0.9688,0.9688
144,1.0000,0.7500
145,1.0000,0.9375
146,1.0000,0.8438
147,1.0000,0.8438
148,0.9688,0.8438
149,1.0000,0.7812
