batch,train_acc,val_acc
0,1.0000,0.7500
1,0.9375,0.6562
2,0.9375,0.7188
3,0.9688,0.8750
4,0.9688,0.7500
5,1.0000,0.8125
6,0.9688,0.8750
7,0.9688,0.9062
8,0.9375,0.8438
9,1.0000,0.7500
10,1.0000,0.9062
11,0.9688,0.8750
12,0.9688,0.8438
13,0.8750,0.6875
14,1.0000,0.8750
15,1.0000,0.7500
16,1.0000,0.7500
17,1.0000,0.9375
18,1.0000,0.9375
19,0.9688,0.7500
20,1.0000,0.6562
21,0.9688,0.7812
22,0.9688,0.7812
23,0.9375,0.8750
24,1.0000,0.9062
25,0.9375,0.7812
26,0.9375,0.7188
27,0.9688,0.7812
28,1.0000,0.9375
29,1.0000,0.8750
30,1.0000,0.9062
31,0.9688,0.9375
32,0.9375,0.8438
33,1.0000,0.8438
34,1.0000,0.8125
35,0.9375,0.9375
36,0.9375,0.8750
37,1.0000,0.9062
38,1.0000,0.9688
