epoch,acc,loss,val_acc,val_loss
0,0.65731896772,0.996549931097,0.708465189873,0.845154548748
1,0.786599849706,0.615960192741,0.657238924051,0.962771974787
2,0.818401403198,0.517176960154,0.777887658228,0.639188220607
3,0.837283888794,0.464479919038,0.784810126582,0.606420519608
4,0.849140566317,0.429460711166,0.779667721519,0.639066040139
5,0.858341267894,0.40173763835,0.787579113924,0.613595253682
6,0.865647707384,0.381365743938,0.81190664557,0.543729461824
7,0.870689050405,0.361844954783,0.809137658228,0.553572532497
8,0.877604610416,0.347404185551,0.804984177215,0.554352780686
9,0.881433224798,0.334871234623,0.813686708861,0.524290019953
